Titre,Lien,Entreprise,Lieu,Type de contrat,Expérience,Secteur,Description
"Consultant (e)Junior : Supply Chain / Achat",https://www.jobzyn.com/fr/companies/Deloitte/jobs/consultant-ejunior-supply-chain-achat-casablanca,"Deloitte Extended Services","Casablanca","CDI","0 - 2 ans","",""
"Category Manager - Junior",https://www.jobzyn.com/fr/companies/marjanemall/jobs/category-manager-casablanca,"marjanemall","Casablanca","CDI","0 - 2 ans","",""
"Key Account Manager Senior "Home/GM"",https://www.jobzyn.com/fr/companies/marjanemall/jobs/key-account-manager-casablanca,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
"Media Buying Manager",https://www.jobzyn.com/fr/companies/marjanemall/jobs/media-buying-manager-casablanca,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
"Logistics & Customs Manager",https://www.jobzyn.com/fr/companies/marjanemall/jobs/responsable-logistique-et-douane-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Product Owner",https://www.jobzyn.com/fr/companies/marjanemall/jobs/product-owner,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
"Product Owner - Fidélité",https://www.jobzyn.com/fr/companies/marjanemall/jobs/product-owner---fidelite-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Head of Backend (.NET)",https://www.jobzyn.com/fr/companies/marjanemall/jobs/head-of-backend-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Assistant(e) RH junior F/H",https://www.jobzyn.com/fr/companies/Deloitte/jobs/assistante-rh-junior-fh-casablanca,"Deloitte Extended Services","Casablanca","CDI","0 - 2 ans","",""
"Head of Fulfillment "Customer Orders & Seller Returns"",https://www.jobzyn.com/fr/companies/marjanemall/jobs/head-of-fulfillment-customer-orders-seller-returns-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Responsable Achats 'Non Alimentaires' – E-commerce",https://www.jobzyn.com/fr/companies/marjanemall/jobs/responsable-achats-non-alimentaires-e-commerce-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Chef de projet – Process Excellence",https://www.jobzyn.com/fr/companies/marjanemall/jobs/chef-de-projet-excellence-operationnelle-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Head of International Sourcing",https://www.jobzyn.com/fr/companies/marjanemall/jobs/head-of-international-sourcing,"marjanemall","","CDI","6 - 9 ans","",""
"Product Owner – Customer Data Platform (CDP)",https://www.jobzyn.com/fr/companies/marjanemall/jobs/product-owner-customer-data-platform-cdp-casablanca,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
"Responsable Fiscalité Groupe",https://www.jobzyn.com/fr/companies/maroc-telecom/jobs/responsable-fiscalite-groupe-rabat,"Maroc Telecom","Rabat","CDI","6 - 9 ans","",""
"Analyste Financier",https://www.jobzyn.com/fr/companies/maroc-telecom/jobs/x-rabat,"Maroc Telecom","Rabat","CDI","3 - 5 ans","",""
"Tech Lead – Backend (Transactions & Gamification)",https://www.jobzyn.com/fr/companies/zsystem/jobs/tech-lead-backend-transactions-gamification-casablanca,"z.systems","Casablanca","CDI","","",""
"ML Tech Lead – Computer Vision & Shelf Recognition",https://www.jobzyn.com/fr/companies/zsystem/jobs/ml-tech-lead-computer-vision-shelf-recognition-casablanca,"z.systems","Casablanca","CDI","","",""
"Strategic Chief of Staff",https://www.jobzyn.com/fr/companies/zsystem/jobs/shadow-founder-strategic-chief-of-staff-casablanca,"z.systems","Casablanca","CDI","","",""
"Data Engineer – Data Platform & Analytics",https://www.jobzyn.com/fr/companies/yakeey/jobs/data-engineer-data-platform-analytics-casablanca,"Yakeey","Casablanca","CDI","6 - 9 ans","",""
"Senior Backend Developer (T-Shaped)",https://www.jobzyn.com/fr/companies/yakeey/jobs/senior-backend-developer-t-shaped-casablanca,"Yakeey","Casablanca","CDI","6 - 9 ans","",""
"Senior Frontend Developer (T-Shaped)",https://www.jobzyn.com/fr/companies/yakeey/jobs/senior-frontend-developer-t-shaped-casablanca,"Yakeey","Casablanca","CDI","6 - 9 ans","",""
